BJD_TDB,Source_AMag_T1,TOM,TOM_uncertainty
2460828.659887969,11.310149028349509,,
2460828.6629203074,11.344040041451189,,
2460828.66595284,11.358486719757376,,
2460828.668915433,11.380978092364844,,
2460828.6719245487,11.413802630031046,,
2460828.6749336612,11.437662975838514,,
2460828.6778970053,11.471013162081704,,
2460828.6808597553,11.495068011119155,,
2460828.6838686373,11.52773520307608,,
2460828.6868784335,11.552257336228127,,
2460828.68991042,11.60026136003373,,
2460828.6929193437,11.614737225518288,,
2460828.6959523214,11.629139246628164,2460828.6994878193,0.00026716642442670824
2460828.6989611606,11.627043785114504,,
2460828.702039196,11.619107008915192,,
2460828.7050028956,11.602681057340812,,
2460828.7181502557,11.523419048337406,,
2460828.7211129908,11.478151082633763,,
2460828.7240760033,11.449468651782633,,
2460828.727085227,11.420189944070495,,
2460828.730094538,11.364395564953048,,
2460828.733057119,11.343937969960947,,
2460828.736066433,11.323680990149276,,
2460828.739075522,11.306365292081292,,

2460834.7636194136,11.293507341893298,,
2460834.7666284936,11.342738922278548,,
2460834.7695918134,11.353897973248404,,
2460834.772623645,11.387519659346728,,
2460834.7755641304,11.430104505665932,,
2460834.7785732527,11.4761050122718,,
2460834.781535755,11.50644104724282,,
2460834.7844997607,11.523726774813406,,
2460834.7874390613,11.528582920019709,,
2460834.7904017135,11.503956386314885,,
2460834.7933696685,11.53760830926953,,
2460834.7963045463,11.521526657265827,,
2460834.799244574,11.540432247248011,2460834.7967917146,0.00021838045067205635
2460834.8022772353,11.532091096128788,,
2460834.8052634476,11.53378219879611,,
2460834.808364852,11.538446543387224,,
2460834.811420609,11.51098213702094,,
2460834.814382949,11.471429001183449,,
2460834.8174155676,11.432097919810197,,
2460834.8203788605,11.38486650898886,,
2460834.823341476,11.367722633991631,,
2460834.826350628,11.323273278788111,,
2460834.8293834147,11.316765704568414,,
2460834.8324614256,11.294977213189796,,

2460843.6802713387,11.329412655145005,,
2460843.683372785,11.348502520543835,,
2460843.686335622,11.37329103093615,,
2460843.689275426,11.417707471920302,,
2460843.692238601,11.44489977632862,,
2460843.6953168474,11.479852997686628,,
2460843.6983493166,11.51699420136264,,
2460843.701358175,11.511501304735331,,
2460843.7044603243,11.504415929964855,,
2460843.707492271,11.53013873783318,,
2460843.7104552905,11.516134058202784,,
2460843.7134875385,11.51597698634118,,
2460843.716519633,11.517835290630948,,
2460843.7195289168,11.524877374839225,,
2460843.722491993,11.5322624785187,2460843.7114697583,0.00019338473969119429
2460843.725431444,11.521357247211498,,
2460843.728463603,11.477980800907067,,
2460843.731426454,11.444885014415467,,
2460843.734366154,11.396536584404162,,
2460843.737329528,11.368942294614628,,
2460843.7402923824,11.335991912583436,,

2460845.759694941,11.31357677294646,,
2460845.762658119,11.354170883173982,,
2460845.765643894,11.381014426415726,,
2460845.7686079405,11.411890360075224,,
2460845.771685533,11.43578374383449,,
2460845.7746479656,11.46530109102062,,
2460845.7776353373,11.512376624423254,,
2460845.780599741,11.511810533965193,,
2460845.7835828355,11.50846761785353,,
2460845.7865456203,11.49518447345926,,
2460845.7895782576,11.516899683904938,,
2460845.792563956,11.486152433183992,,
2460845.7955727316,11.521592388071165,,
2460845.7985601947,11.536099809511551,,
2460845.801614733,11.540420274891572,2460845.7912696367,0.0002801026381925209
2460845.8046463006,11.510027035896538,,
2460845.807748476,11.489577919508632,,
2460845.8107110006,11.441841360892097,,
2460845.813674199,11.423293625433564,,
2460845.8166364706,11.384309228826176,,
2460845.819600544,11.344124340199508,,
2460845.8225623597,11.30480147462091,,

2460846.794546709,11.303220577566355,,
2460846.7975785933,11.33426401276671,,
2460846.800542126,11.348354460768771,,
2460846.803504452,11.391630348614802,,
2460846.806537043,11.411188628278548,,
2460846.8094769227,11.43476052175686,,
2460846.812415347,11.474730744155382,,
2460846.8154477687,11.4986826032249,,
2460846.818480797,11.531169753150678,,
2460846.8214894393,11.540125686716156,,
2460846.8245211733,11.543063838520156,,
2460846.827460768,11.537772118629007,,
2460846.8304932774,11.550840350222144,,
2460846.8357688677,11.551889782343128,2460846.830361905,0.0001515888710154152
2460846.8388028564,11.540307452740503,,
2460846.841765909,11.538037854222804,,
2460846.8447285374,11.51799789016769,,
2460846.847738601,11.45136893783246,,
2460846.850701218,11.446252350051276,,
2460846.853640209,11.404886286318131,,
2460846.8566267453,11.394151636729395,,
2460846.859566616,11.350765116496325,,
2460846.8625754174,11.339537565215473,,
2460846.865537602,11.326008646622444,,
2460846.8684773208,11.294494036018117,,

2460847.6858601933,11.328377242057062,,
2460847.688892323,11.33245044582351,,
2460847.691924733,11.356021140406323,,
2460847.697456995,11.403083340913351,,
2460847.700419781,11.441965386865814,,
2460847.703382463,11.468242895787997,,
2460847.706345779,11.504434487151643,,
2460847.7093314193,11.542758061254167,,
2460847.712294315,11.547431755514664,,
2460847.7153032585,11.564368571969876,2460847.7217030376,0.00029537123365840946
2460847.718358763,11.553737891581926,,
2460847.7213218,11.54768659090042,,
2460847.7242611754,11.547891275061676,,
2460847.727316868,11.535978489213113,,
2460847.730279668,11.537704908303768,,
2460847.7333118315,11.522142772448625,,
2460847.7362515084,11.510436546739731,,
2460847.739306974,11.482758267268505,,
2460847.7422702163,11.46350324287804,,
2460847.745325907,11.424570882963996,,
2460847.7484039515,11.377312913432924,,
2460847.751366732,11.358045096788356,,
2460847.7543064044,11.340889137279234,,
2460847.7572692316,11.31243148209662,,

2460850.668538811,11.409195966050774,,
2460850.671544561,11.4299576803853,,
2460850.6745313504,11.464234067633578,,
2460850.6775628948,11.485749938944055,,
2460850.68057183,11.52727238852214,,
2460850.683650835,11.55243038309568,,
2460850.686613517,11.555142197035856,,
2460850.689692542,11.573060954742552,2460850.693517591,0.00030693635113844395
2460850.6951834974,11.553867866672492,,
2460850.6982336473,11.554825473737871,,
2460850.701289329,11.533481410021574,,
2460850.704367684,11.533433393430276,,
2460850.7073304844,11.518095004263673,,
2460850.71040915,11.495628519518034,,
2460850.713487326,11.451819619202224,,
2460850.7165429727,11.42504349046941,,

2460852.734456592,11.305749581807964,,
2460852.737464519,11.328871030454962,,
2460852.7405404793,11.345765104214708,,
2460852.7435498643,11.372482077705758,,
2460852.746627491,11.412960203618717,,
2460852.749705638,11.424584852622973,,
2460852.75271499,11.468307467379148,,
2460852.755724405,11.498201600445608,,
2460852.7587333387,11.513503473534278,,
2460852.7617196687,11.558319567404244,,
2460852.764682566,11.551794745534508,,
2460852.767737563,11.57462731599538,2460852.7722035693,0.00016712296982157525
2460852.770723599,11.571466877987197,,
2460852.7738253204,11.555895234918133,,
2460852.7767946464,11.559112096185784,,
2460852.779797344,11.556400248602325,,
2460852.7828298816,11.524958178638707,,
2460852.7859840877,11.537158813886828,,
2460852.7890103674,11.496473888215949,,
2460852.7920889077,11.47081739485877,,
2460852.7951670545,11.43024504197919,,
2460852.7981537883,11.403493090403282,,
2460852.8011623137,11.367171771125292,,
2460852.8043332393,11.346880724994936,,
2460852.8073190604,11.320947452397956,,
2460852.810398148,11.291303757842732,,

2460854.674041058,11.296872079101428,,
2460854.6765637477,11.316435040608413,,
2460854.6793650333,11.350176798616314,,
2460854.6822129115,11.384316398382127,,
2460854.685105743,11.42669787865155,,
2460854.6880220603,11.439612933941865,,
2460854.690938857,11.462676118417592,,
2460854.693854874,11.497766719812317,,
2460854.696749069,11.484452767542496,,
2460854.699664964,11.501297810622065,,
2460854.702558191,11.508191181702136,,
2460854.7053822926,11.524339016523063,2460854.70679805,0.00021355061516705186
2460854.708183315,11.503275384431674,,
2460854.711099881,11.498372069722295,,
2460854.7135996465,11.516087950828688,,
2460854.716516144,11.501548780193648,,
2460854.719410734,11.523701448855135,,
2460854.722304291,11.486053824099924,,
2460854.7252204814,11.442108942790831,,
2460854.72804491,11.421039761635786,,
2460854.730937014,11.37583383589856,,
2460854.7338305116,11.36301645154635,,
2460854.736654721,11.32067350117529,,

2460867.74861284,11.311311401651688,,
2460867.7515294245,11.325453884425924,,
2460867.7545388206,11.332244993260923,,
2460867.7575245267,11.379482013324052,,
2460867.7605106174,11.43987976303927,,
2460867.7634274364,11.459473479031786,,
2460867.7663670857,11.48340947855834,,
2460867.76937623,11.514024040916034,,
2460867.772293553,11.515697594640676,,
2460867.775209844,11.523527956168287,,
2460867.77812622,11.515192469844749,,
2460867.781112394,11.468107368203352,,
2460867.7840059004,11.522265599637672,,
2460867.7869228045,11.529105505940016,2460867.7821162594,0.0001964425867971584
2460867.789931414,11.515481398578851,,
2460867.7929413524,11.523060420902386,,
2460867.795949831,11.52295667297936,,
2460867.798935913,11.472188156410908,,
2460867.8019454503,11.446630409015343,,
2460867.8048853176,11.408953961582464,,
2460867.807778446,11.362495661393798,,
2460867.81076474,11.343665652410134,,
